dataset_id,fold,session,nll_summed
1,2,14,137.81118774414062
1,2,15,89.19474792480469
1,2,16,84.11576843261719
1,2,17,60.16840744018555
1,2,18,141.17062377929688
1,2,19,142.7749481201172
1,2,20,135.31167602539062
1,2,21,131.1316680908203
1,2,22,96.67558288574219
1,2,23,126.92607116699219
1,2,24,125.75390625
1,2,25,96.48622131347656
1,2,26,89.67893981933594
1,2,27,83.8883285522461
1,2,28,98.77809143066406
1,2,29,73.1168212890625
1,2,30,92.72815704345703
1,2,31,131.51963806152344
1,2,32,107.39908599853516
1,2,33,128.37086486816406
1,2,34,137.22499084472656
1,2,35,80.86793518066406
1,2,36,133.8701629638672
1,2,37,135.3533172607422
1,2,38,120.45833587646484
1,2,39,124.0199966430664
1,2,40,65.91804504394531
1,2,41,48.44599914550781
1,2,42,138.66641235351562
1,2,43,126.9535903930664
1,2,44,86.82563781738281
1,2,45,82.32563781738281
1,2,46,94.31376647949219
1,2,47,77.29707336425781
1,2,48,126.62535095214844
1,2,49,90.95555114746094
1,2,50,86.755126953125
1,2,51,123.2208251953125
1,2,52,133.6322784423828
1,2,53,145.3187255859375
1,2,54,120.0867691040039
1,2,55,99.42042541503906
1,2,56,110.66056823730469
1,2,57,128.8321075439453
1,2,58,145.82386779785156
1,2,59,88.32073974609375
1,2,60,83.10087585449219
1,2,61,80.27996826171875
1,2,62,92.36490631103516
1,2,63,83.85979461669922
1,2,64,107.51887512207031
1,2,65,95.8908462524414
2,0,0,136.88916015625
2,0,1,98.9915542602539
2,0,2,125.30741882324219
2,0,3,85.14967346191406
2,0,4,87.44607543945312
2,0,5,128.86663818359375
2,0,6,91.88900756835938
2,0,7,83.56666564941406
2,0,8,96.82132720947266
2,0,9,74.64358520507812
2,0,10,106.38914489746094
2,0,11,81.93382263183594
2,0,12,78.5775146484375
2,0,13,114.41438293457031
2,0,14,80.41960144042969
2,0,15,79.8695068359375
2,0,16,132.9614715576172
2,0,17,86.95677185058594
2,0,18,60.587303161621094
2,0,19,141.4855194091797
2,0,20,65.48509216308594
2,0,21,134.6237030029297
2,0,22,99.72721862792969
2,0,23,82.53260803222656
2,0,24,95.4760513305664
2,0,25,108.6909408569336
2,0,26,138.0814666748047
2,0,27,91.8456039428711
2,0,28,98.95668029785156
2,0,29,78.32332611083984
2,0,30,79.35958099365234
2,0,31,72.55509185791016
2,0,32,83.4471206665039
2,0,33,64.21038055419922
